municipality_code,year,population
04208,2005,33199
04208,2010,31336
04209,2000,61457
04209,2005,62745
04209,2010,63060
04211,2000,41407
04211,2005,43921
04211,2010,44187
04212,2005,89316
04212,2010,83969
04213,2005,80248
04213,2010,74932
04214,2005,43235
04214,2010,42903
04215,2010,135147
04301,2000,13545
04301,2005,13318
04301,2010,12882
04302,2000,2034
04302,2005,1871
04302,2010,1694
04321,2000,22767
04321,2005,23335
04321,2010,23530
04322,2000,13166
04322,2005,12740
04322,2010,11995
04323,2000,39485
04323,2005,39809
04323,2010,39341
04324,2000,10872
04324,2005,10583
04324,2010,9978
04341,2000,17868
04341,2005,16792
04341,2010,15501
04361,2000,34770
04361,2005,35132
04361,2010,34845
04362,2000,18537
04362,2005,17713
04362,2010,16704
04401,2000,17059
04401,2005,16193
04401,2010,15085
04404,2000,21131
04404,2005,21068
04404,2010,20416
04406,2000,29848
04406,2005,32257
04406,2010,33994
04421,2000,24410
04421,2005,24509
04421,2010,24894
04422,2000,9768
04422,2005,9424
04422,2010,8927
04424,2000,5992
04424,2005,5607
04424,2010,5334
04444,2000,8162
04444,2005,7856
04444,2010,7431
04445,2005,27212
04445,2010,25527
04501,2000,19313
04501,2005,18410
04501,2010,17494
04505,2010,25190
04581,2000,11814
04581,2005,10723
04581,2010,10051
04606,2005,18645
04606,2010,17429
05000,2000,1189279
05000,2005,1145501
05000,2010,1085997
05201,2000,317625
05201,2005,333109
05201,2010,323600
05202,2000,53266
05202,2005,51703
05202,2010,59084
05203,2000,40521
05203,2005,103652
05203,2010,98367
05204,2000,66293
05204,2005,82504
05204,2010,78946
05206,2000,30469
05206,2005,35637
05206,2010,32294
05207,2000,34963
05207,2005,55290
05207,2010,50849
05209,2000,39144
05209,2005,36753
05209,2010,34473
05210,2005,89555
05210,2010,85229
05211,2005,35814
05211,2010,34442
05212,2005,93352
05212,2010,88301
05213,2005,40049
05213,2010,36387
05214,2005,28972
05214,2010,27544
05215,2005,31868
05215,2010,29568
05303,2000,7171
05303,2005,6824
05303,2010,6054
05327,2000,3369
05327,2005,3107
05327,2010,2727
05346,2000,4708
05346,2005,4348
05346,2010,3848
05348,2010,18876
05349,2010,8220
05361,2000,12372
05361,2005,11678
05361,2010,10516
05363,2000,7533
05363,2005,7093
05363,2010,6623
05366,2000,6116
05366,2005,5847
05366,2010,5493
05368,2000,3323
05368,2005,3256
05368,2010,3218
05434,2005,23038
05434,2010,21674
05463,2000,19485
05463,2005,18267
05463,2010,16792
05464,2000,3390
05464,2005,3180
05464,2010,2872
06000,2000,1244147
06000,2005,1216181
06000,2010,1168924
06201,2000,255369
06201,2005,256012
06201,2010,254244
06202,2000,95396
06202,2005,93178
06202,2010,89401
06203,2000,100628
06203,2005,142384
06203,2010,136623
06204,2000,101311
06204,2005,98278
06204,2010,111151
06205,2000,42151
06205,2005,40717
06205,2010,38850
06206,2000,43379
06206,2005,43625
06206,2010,42373
06207,2000,36886
06207,2005,36013
06207,2010,33836
06208,2000,29586
06208,2005,28192
06208,2010,26811
06209,2000,31987
06209,2005,30929
06209,2010,29473
06210,2000,63231
06210,2005,63864
06210,2010,62214
06211,2000,44800
06211,2005,45834
06211,2010,46414
06212,2000,22010
06212,2005,20695
06212,2010,18955
06213,2000,36191
06213,2005,35190
06213,2010,33658
06301,2000,15512
06301,2005,15415
06301,2010,15139
06302,2000,12573
06302,2005,12523
06302,2010,12015
06321,2000,21476
06321,2005,20738
06321,2010,19959
06322,2000,7452
06322,2005,6917
06322,2010,6270
06323,2000,9337
06323,2005,8593
06323,2010,7856
06324,2000,10477
06324,2005,9915
06324,2010,9227
06341,2000,9400
06341,2005,8824
06341,2010,8160
06361,2000,7381
06361,2005,6949
06361,2010,6365
06362,2000,11483
06362,2005,10761
06362,2010,9847
06363,2000,6996
06363,2005,6671
06363,2010,6164
06364,2000,10592
06364,2005,10054
06364,2010,9165
06365,2000,4528
06365,2005,4226
06365,2010,3762
06366,2000,5829
06366,2005,5447
06366,2010,4862
06367,2000,6450
06367,2005,5915
06367,2010,5304
06381,2000,26807
06381,2005,26026
06381,2010,25025
06382,2000,19688
06382,2005,18769
06382,2010,17313
06401,2000,10262
06401,2005,9742
