municipality_code,households_total,population_2015,births_annual
47325,5220,13685,105
47326,11697,28308,235
47327,6558,16148,161
47328,8851,19454,228
47329,13610,34508,263
47340,,100235,
47341,24580,61119,
47343,7622,20547,
47344,3058,8519,
47345,4323,11682,
47346,1714,5107,
47347,4557,11600,
47348,7949,18410,226
47349,5301,13627,
47350,14679,37502,467
47351,1799,4094,
47352,1539,3661,
47353,389,730,1
47354,501,870,8
47355,378,759,4
47356,224,430,
47357,680,1329,13
47358,326,629,5
47359,518,1238,8
47360,637,1517,2
47361,3338,7755,60
47362,10680,29066,310
47370,,1194,
47371,2293,5386,
47372,1227,2892,
47373,1591,2859,
47374,2047,4769,
47375,466,1194,2
47380,,5841,
47381,2093,3998,42
47382,760,1843,11
