municipality_code,households_total,population_2015,births_annual
06322,1686,5636,12
06323,2150,7119,19
06324,2543,8472,13
06340,,7357,
06341,2086,7357,14
06360,,41001,
06361,1572,5829,21
06362,2596,8902,20
06363,1580,5631,16
06364,2320,8137,17
06365,945,3412,6
06366,1193,4317,19
06367,1359,4773,12
06380,,39633,
06381,7358,23882,105
06382,4495,15751,45
06400,,29347,
06401,2810,7868,28
06402,4389,14175,36
06403,2125,7304,23
06420,,29394,
06421,1499,5302,
06422,5151,16364,
06423,2905,10216,
06424,2297,8529,
06425,2000,7244,
06426,2332,7728,41
06427,1118,4295,
06428,6650,21666,88
06441,2484,7550,
06460,,14207,
06461,4432,14207,32
06462,1714,5903,
06463,1306,4461,
06464,1895,6072,
07000,742911,1914039,9019
07201,121919,294247,1429
07202,49022,124062,597
07203,140441,335444,1884
07204,141411,350237,1638
07205,23763,61913,273
07206,21037,43938,
07207,27127,77441,394
07208,16049,49377,209
07209,13875,38556,156
07210,19384,58162,199
07211,12159,38503,131
07212,26349,57797,275
07213,21158,62400,229
07214,10571,30924,170
07300,,36235,
07301,4194,12271,38
07302,4249,11290,
07303,3123,9512,18
07304,5416,17238,
07305,7999,22587,
07306,2442,7467,
07307,1052,3818,
07308,4780,14452,48
07309,1802,5754,
07320,,8679,
07321,4161,11527,
07322,2874,8679,60
07323,8414,22916,
07324,2157,8008,
07325,2012,7355,
07326,1724,6513,
07340,,18097,
07341,1492,5392,
07342,4382,12486,81
07343,1416,5203,
07344,1671,5611,22
07360,,27149,
07361,3999,10860,
07362,1953,5800,10
07363,619,1732,
07364,228,615,3
07365,495,1392,
07366,781,2280,
07367,1634,4470,12
07368,5894,16264,50
07381,2252,7434,
07400,,28029,
07401,788,2606,
07402,1003,2831,5
07403,3000,9775,
07404,1001,3208,
07405,2352,6582,18
07406,534,1812,
07407,1079,3579,13
07408,4718,15037,43
07420,,23045,
07421,5306,16303,47
07422,976,3206,17
07423,1127,3536,9
07424,2527,8159,
07440,,26092,
07441,3776,12057,
07442,1760,5501,
07443,929,3355,
07444,644,1668,2
07445,878,2189,5
07446,626,1322,5
07447,6465,20913,70
07460,,49188,
07461,8092,20322,157
07462,1839,6314,
07463,1560,5316,
07464,2089,6495,21
07465,1520,5001,20
07466,6102,17370,75
07467,1115,4217,
07480,,32979,
07481,4728,14295,67
07482,1867,5950,16
07483,2935,9157,32
07484,1006,3577,10
07500,,41112,
07501,5214,15880,47
07502,1980,6777,29
07503,1953,6505,21
07504,2070,6577,23
07505,1610,5373,11
07520,,28779,
07521,5977,18304,67
07522,3398,10475,28
07523,1399,4622,
07524,1389,4588,
07525,744,1850,
07526,1627,5637,
07527,7000,21806,
07540,,7333,
07541,2899,4319,16
07542,1977,975,23
07543,1640,0,29
07544,934,2021,5
07545,800,0,52
07546,,0,18
07547,1405,0,54
07548,205,18,8
07560,,8259,
07561,2748,8218,23
07562,3693,13851,
07563,1619,8,
07564,627,41,7
08000,1184133,2916976,14898
08201,122598,270783,1820
08202,77911,185054,705
08203,63093,140804,731
08204,56149,140946,689
08205,28344,76020,305
08206,22968,60425,
08207,19328,51594,208
08208,32158,78342,315
08210,16407,43293,208
08211,22289,61483,239
08212,19243,52294,179
08214,11608,29638,83
08215,17042,44412,160
08216,28918,76739,313
08217,45447,106570,483
08218,14227,40345,
08219,35195,84317,382
08220,110490,226963,2094
08221,66754,155689,917
08222,28318,67879,360
08223,10774,29111,127
08224,27385,64753,495
08225,15643,42587,130
08226,20931,54276,287
08227,37491,104573,460
08228,18452,54087,179
08229,14552,42810,100
08230,15271,42147,129
08231,13453,42632,121
08232,40487,94522,606
08233,11144,34909,108
08234,17919,48147,179
08235,19971,49136,365
08236,18407,50911,265
08300,,69607,
08302,11758,32921,119
08303,5906,17296,
08304,9573,25327,
08305,5543,15139,
08306,4351,12166,
08307,1999,5767,
08308,1224,3635,
08309,6596,16886,53
08310,6913,19800,51
08321,14303,35746,
08322,5406,15183,
08323,563,1867,
08324,6382,19614,
08340,,37713,
08341,15429,37713,250
08342,18138,46318,
08343,2793,7958,
08344,9792,25616,
08345,2285,6374,
08346,1137,3434,
08347,1205,3528,
08360,,18053,
08361,3468,9936,
08362,1652,4598,
08363,1105,3239,
08364,6356,18053,23
08381,5136,14087,
08401,4079,11051,
08402,9403,25923,
08403,4437,11173,
