municipality_code,financial_capability_index,real_debt_service_ratio_pct,taxable_income_per_capita_yen,homeownership_rate_pct,crime_rate_per_1000,doctors_per_100k,ssds_hospital_count,unemployment_rate_pct,tertiary_industry_pct,dwelling_area_sqm,day_night_pop_ratio,school_count,nursery_children,ssds_data_year,ssds_source_url
11206,0.69,3.2,3116489,79.0,16.38,146.3,2,4.1,64.5,106.54,92.7,20,1134,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11207,0.56,3.4,2947695,81.2,7.94,174.3,5,4.2,64.4,114.27,96.6,21,1084,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11208,0.96,3.9,3705519,62.3,14.32,267.2,24,4.0,78.3,78.65,87.3,47,4875,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11209,0.75,4.2,3342844,74.9,15.39,105.8,7,4.5,70.4,99.35,91.3,21,1132,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11210,0.74,4.5,3138916,78.4,14.32,144.2,6,4.2,64.3,109.62,95.3,31,2057,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11211,0.74,3.7,3453289,68.9,17.83,160.4,11,4.3,59.0,102.43,101.7,19,1973,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11212,0.85,3.2,3287149,69.1,15.38,173.2,7,4.1,68.4,97.09,102.6,17,1239,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11214,0.74,3.1,3276645,67.6,22.58,161.5,13,4.4,73.6,88.86,85.7,34,2572,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11215,0.89,5.3,3261523,68.9,15.64,208.5,11,4.6,71.4,86.36,95.1,25,2233,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11216,0.79,9.1,3175961,75.4,14.87,185.4,3,4.2,61.6,109.57,97.8,14,900,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11217,0.69,4.1,3378916,76.2,15.63,99.3,4,4.1,71.2,100.64,81.1,26,1845,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11218,0.75,-1.7,3225208,75.3,14.96,158.6,9,4.4,61.2,108.17,94.6,30,3187,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11219,0.89,4.8,3561860,63.9,15.19,190.8,5,4.0,75.1,86.19,83.6,34,2629,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11221,0.91,3.9,3617615,57.8,22.36,118.4,6,3.9,72.5,76.45,84.7,32,2606,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
11222,0.91,6.7,3700674,67.1,21.35,268.4,15,3.9,75.5,86.8,87.3,45,4196,2025,https://www.e-stat.go.jp/stat-search/database?toukei=00200502 (社会・人口統計体系 統計でみる市区町村のすがた2025 基礎データ・廃置分合処理済)
