municipality_code,year,population
01518,2060,800
01518,2065,716
01518,2070,640
01519,2025,2206
01519,2030,1995
01519,2035,1809
01519,2040,1649
01519,2045,1488
01519,2050,1327
01519,2055,1188
01519,2060,1064
01519,2065,950
01519,2070,853
01520,2025,2267
01520,2030,2171
01520,2035,2052
01520,2040,1929
01520,2045,1804
01520,2050,1674
01520,2055,1541
01520,2060,1420
01520,2065,1307
01520,2070,1200
01543,2025,17271
01543,2030,15743
01543,2035,14229
01543,2040,12803
01543,2045,11406
01543,2050,10099
01543,2055,8874
01543,2060,7767
01543,2065,6721
01543,2070,5798
01544,2025,4323
01544,2030,3775
01544,2035,3261
01544,2040,2811
01544,2045,2406
01544,2050,2048
01544,2055,1751
01544,2060,1518
01544,2065,1296
01544,2070,1110
01545,2025,4993
01545,2030,4664
01545,2035,4339
01545,2040,4034
01545,2045,3725
01545,2050,3451
01545,2055,3193
01545,2060,2959
01545,2065,2721
01545,2070,2500
01546,2025,3700
01546,2030,3342
01546,2035,2997
01546,2040,2691
01546,2045,2397
01546,2050,2137
01546,2055,1897
01546,2060,1697
01546,2065,1506
01546,2070,1347
01547,2025,4133
01547,2030,3746
01547,2035,3400
01547,2040,3071
01547,2045,2764
01547,2050,2461
01547,2055,2197
01547,2060,1957
01547,2065,1732
01547,2070,1525
01549,2025,4255
01549,2030,3820
01549,2035,3387
01549,2040,3000
01549,2045,2641
01549,2050,2295
01549,2055,1995
01549,2060,1731
01549,2065,1497
01549,2070,1285
01550,2025,2445
01550,2030,2188
01550,2035,1944
01550,2040,1744
01550,2045,1541
01550,2050,1373
01550,2055,1210
01550,2060,1075
01550,2065,958
01550,2070,853
01552,2025,4347
01552,2030,3905
01552,2035,3526
01552,2040,3135
01552,2045,2776
01552,2050,2445
01552,2055,2166
01552,2060,1908
01552,2065,1675
01552,2070,1458
01555,2025,17515
01555,2030,15999
01555,2035,14566
01555,2040,13183
01555,2045,11875
01555,2050,10612
01555,2055,9501
01555,2060,8458
01555,2065,7492
01555,2070,6625
01559,2025,7745
01559,2030,7007
01559,2035,6298
01559,2040,5619
01559,2045,4989
01559,2050,4397
01559,2055,3860
01559,2060,3386
01559,2065,2942
01559,2070,2556
01560,2025,2286
01560,2030,2032
01560,2035,1808
01560,2040,1598
01560,2045,1422
01560,2050,1252
01560,2055,1101
01560,2060,973
01560,2065,848
01560,2070,752
01561,2025,3553
01561,2030,3263
01561,2035,2980
01561,2040,2725
01561,2045,2484
01561,2050,2261
01561,2055,2070
01561,2060,1895
01561,2065,1720
01561,2070,1567
01562,2025,1063
01562,2030,1016
01562,2035,964
01562,2040,916
01562,2045,871
01562,2050,812
01562,2055,758
01562,2060,712
01562,2065,653
01562,2070,604
01563,2025,4015
01563,2030,3642
01563,2035,3326
01563,2040,3017
01563,2045,2705
01563,2050,2418
01563,2055,2150
01563,2060,1908
01563,2065,1685
01563,2070,1494
01564,2025,6164
01564,2030,5627
01564,2035,5107
01564,2040,4616
01564,2045,4139
01564,2050,3669
01564,2055,3246
01564,2060,2852
01564,2065,2488
01564,2070,2170
01571,2025,3491
01571,2030,3222
01571,2035,2986
01571,2040,2743
01571,2045,2495
01571,2050,2253
01571,2055,2027
01571,2060,1820
01571,2065,1622
01571,2070,1428
01575,2025,2746
01575,2030,2522
01575,2035,2316
01575,2040,2108
01575,2045,1903
01575,2050,1716
01575,2055,1560
01575,2060,1417
01575,2065,1289
01575,2070,1159
01578,2025,15826
01578,2030,14197
01578,2035,12599
01578,2040,11044
01578,2045,9601
01578,2050,8322
01578,2055,7213
01578,2060,6237
01578,2065,5323
01578,2070,4498
01581,2025,4090
01581,2030,3819
01581,2035,3558
01581,2040,3308
01581,2045,3086
01581,2050,2878
01581,2055,2702
01581,2060,2541
01581,2065,2379
01581,2070,2236
01584,2025,8324
01584,2030,7481
01584,2035,6663
01584,2040,5878
01584,2045,5149
01584,2050,4500
01584,2055,3917
01584,2060,3396
01584,2065,2933
01584,2070,2508
01585,2025,6681
01585,2030,6111
01585,2035,5575
01585,2040,5074
01585,2045,4603
01585,2050,4162
01585,2055,3730
01585,2060,3351
01585,2065,2993
01585,2070,2674
01586,2025,6562
01586,2030,5840
01586,2035,5128
01586,2040,4483
01586,2045,3909
01586,2050,3383
01586,2055,2917
01586,2060,2530
01586,2065,2163
01586,2070,1853
01601,2025,1168
01601,2030,1038
01601,2035,914
01601,2040,788
01601,2045,684
01601,2050,601
01601,2055,518
01601,2060,454
01601,2065,401
01601,2070,345
01602,2025,3953
01602,2030,3558
01602,2035,3181
01602,2040,2826
01602,2045,2498
01602,2050,2185
01602,2055,1931
01602,2060,1672
01602,2065,1424
01602,2070,1202
01604,2025,4924
01604,2030,4678
01604,2035,4437
01604,2040,4198
01604,2045,3950
01604,2050,3678
01604,2055,3414
01604,2060,3151
01604,2065,2902
01604,2070,2649
01607,2025,11453
01607,2030,10414
01607,2035,9432
01607,2040,8490
01607,2045,7551
01607,2050,6687
01607,2055,5911
01607,2060,5193
01607,2065,4531
01607,2070,3918
01608,2025,3615
01608,2030,3170
01608,2035,2766
01608,2040,2380
01608,2045,2020
01608,2050,1714
01608,2055,1432
01608,2060,1193
01608,2065,998
01608,2070,822
01609,2025,3900
01609,2030,3522
01609,2035,3160
01609,2040,2826
01609,2045,2495
01609,2050,2173
01609,2055,1892
01609,2060,1641
01609,2065,1412
01609,2070,1200
01610,2025,3240
01610,2030,2972
01610,2035,2699
01610,2040,2452
01610,2045,2195
01610,2050,1938
01610,2055,1696
01610,2060,1470
01610,2065,1279
01610,2070,1104
01631,2025,43246
01631,2030,42063
01631,2035,40807
01631,2040,39358
01631,2045,37710
01631,2050,35741
01631,2055,33646
01631,2060,31492
01631,2065,29148
01631,2070,26842
01632,2025,5469
01632,2030,5095
01632,2035,4766
01632,2040,4433
01632,2045,4084
01632,2050,3700
01632,2055,3382
01632,2060,3050
01632,2065,2759
01632,2070,2499
01633,2025,4441
01633,2030,4208
01633,2035,3992
01633,2040,3816
